==========] Running 26 tests from 4 test suites.
[----------] Global test environment set-up.
[----------] 16 tests from SiliconDriverWH
[ RUN      ] SiliconDriverWH.OneDramOneTensixNoEthSocDesc
2025-09-09 14:30:44.602 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.628 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.628 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.628 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.628 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.630 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.667 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.692 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.692 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.692 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.692 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.693 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.730 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.754 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.754 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.754 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.754 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.755 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.792 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.814 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.814 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
